frame_idx,timestamp_s,subject_id,segment_state,ground_truth_label,source_relpath
0,0.0,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02028_0_0_1_0_0_01.png
1,0.1,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02487_0_0_1_0_0_01.png
2,0.2,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02194_0_0_1_0_0_01.png
3,0.3,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02568_0_1_1_2_1_01.png
4,0.4,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_01904_0_0_1_0_0_01.png
5,0.5,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02409_0_0_1_0_0_01.png
6,0.6,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03173_0_1_1_2_0_01.png
7,0.7,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02874_0_1_1_0_1_01.png
8,0.8,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02394_0_0_1_0_0_01.png
9,0.9,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02816_0_1_1_0_0_01.png
10,1.0,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_01909_0_0_1_0_0_01.png
11,1.1,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02750_0_1_1_2_0_01.png
12,1.2,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02785_0_1_1_2_0_01.png
13,1.3,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02099_0_0_1_0_0_01.png
14,1.4,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_01977_0_0_1_0_0_01.png
15,1.5,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03180_0_1_1_2_0_01.png
16,1.6,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02346_0_0_1_0_0_01.png
17,1.7,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02405_0_0_1_0_0_01.png
18,1.8,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02063_0_0_1_0_0_01.png
19,1.9,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02435_0_0_1_0_0_01.png
20,2.0,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03034_0_1_1_2_0_01.png
21,2.1,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03110_0_1_1_2_0_01.png
22,2.2,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02875_0_1_1_0_1_01.png
23,2.3,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03235_0_1_1_2_0_01.png
24,2.4,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03152_0_1_1_2_0_01.png
25,2.5,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02456_0_0_1_0_0_01.png
26,2.6,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02471_0_0_1_0_0_01.png
27,2.7,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02193_0_0_1_0_0_01.png
28,2.8,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03190_0_1_1_2_0_01.png
29,2.9,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03058_0_1_1_2_0_01.png
30,3.0,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02096_0_0_1_0_0_01.png
31,3.1,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02139_0_0_1_0_0_01.png
32,3.2,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02599_0_1_1_0_0_01.png
33,3.3,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02626_0_1_1_2_0_01.png
34,3.4,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_01881_0_0_1_0_0_01.png
35,3.5,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02408_0_0_1_0_0_01.png
36,3.6,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_01996_0_0_1_0_0_01.png
37,3.7,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02821_0_1_1_0_1_01.png
38,3.8,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02868_0_1_1_2_0_01.png
39,3.9,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02701_0_1_1_2_0_01.png
40,4.0,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02713_0_1_1_0_0_01.png
41,4.1,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02735_0_1_1_2_0_01.png
42,4.2,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_01935_0_0_1_0_0_01.png
43,4.3,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02417_0_0_1_0_0_01.png
44,4.4,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02924_0_1_1_2_0_01.png
45,4.5,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02464_0_0_1_0_0_01.png
46,4.6,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03139_0_1_1_0_0_01.png
47,4.7,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03153_0_1_1_2_0_01.png
48,4.8,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03067_0_1_1_2_0_01.png
49,4.9,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02056_0_0_1_0_0_01.png
50,5.0,s0001,blink,closed,data/raw/mrlEyes_2018_01/s0001/s0001_00679_0_0_0_0_0_01.png
51,5.1,s0001,blink,closed,data/raw/mrlEyes_2018_01/s0001/s0001_00700_0_0_0_0_0_01.png
52,5.2,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02623_0_1_1_0_0_01.png
53,5.3,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02187_0_0_1_0_0_01.png
54,5.4,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02991_0_1_1_2_0_01.png
55,5.5,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_01927_0_0_1_0_0_01.png
56,5.6,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02206_0_0_1_0_0_01.png
57,5.7,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02981_0_1_1_2_0_01.png
58,5.8,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02173_0_0_1_0_0_01.png
59,5.9,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03136_0_1_1_2_0_01.png
60,6.0,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02433_0_0_1_0_0_01.png
61,6.1,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02188_0_0_1_0_0_01.png
62,6.2,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02544_0_0_1_0_0_01.png
63,6.3,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02096_0_0_1_0_0_01.png
64,6.4,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02272_0_0_1_0_0_01.png
65,6.5,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03045_0_1_1_2_0_01.png
66,6.6,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_03079_0_1_1_2_0_01.png
67,6.7,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02990_0_1_1_2_0_01.png
68,6.8,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02002_0_0_1_0_0_01.png
69,6.9,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02850_0_1_1_2_0_01.png
70,7.0,s0001,alert,open,data/raw/mrlEyes_2018_01/s0001/s0001_02230_0_0_1_0_0_01.png
