image,technique,brightness,contrast,noise,contrast_gain,noise_gain,score_contrast_per_noise
good_lighting,original,101.17,18.44,0.92,1.0,1.0,1.0
good_lighting,negative,153.83,18.44,0.92,1.0,1.0,1.0
good_lighting,log,234.17,11.77,0.74,0.638,0.801,0.797
good_lighting,gamma_0.5,159.25,16.24,0.9,0.881,0.976,0.903
good_lighting,gamma_1.5,64.12,16.27,0.77,0.882,0.837,1.055
good_lighting,contrast_stretch,167.76,56.54,2.7,3.067,2.938,1.044
good_lighting,hist_eq,130.12,73.9,2.98,4.008,3.244,1.236
poor_lighting,original,83.74,41.75,3.08,1.0,1.0,1.0
poor_lighting,negative,171.26,41.75,3.08,1.0,1.0,1.0
poor_lighting,log,197.44,25.02,2.02,0.599,0.654,0.916
poor_lighting,gamma_0.5,140.85,36.91,2.68,0.884,0.871,1.015
poor_lighting,gamma_1.5,51.91,37.81,3.14,0.906,1.019,0.889
poor_lighting,contrast_stretch,106.97,69.51,4.54,1.665,1.474,1.13
poor_lighting,hist_eq,128.39,73.44,5.03,1.759,1.632,1.078
glasses_reflection,original,103.14,22.11,1.7,1.0,1.0,1.0
glasses_reflection,negative,151.86,22.11,1.7,1.0,1.0,1.0
glasses_reflection,log,212.2,9.47,0.71,0.428,0.415,1.031
glasses_reflection,gamma_0.5,160.81,16.39,1.21,0.741,0.713,1.04
glasses_reflection,gamma_1.5,66.21,24.2,1.98,1.095,1.165,0.94
glasses_reflection,contrast_stretch,133.06,36.32,2.68,1.643,1.577,1.042
glasses_reflection,hist_eq,132.67,74.28,4.74,3.36,2.786,1.206
