image,method,psnr,ssim,edge_preservation
open_good_light,laplacian,38.53222381871434,0.9442847021636643,0.9432507144456708
open_good_light,unsharp_mask,48.673320072051354,0.994721102470532,0.989730276655865
open_poor_light,laplacian,25.423389724140044,0.6379153634306095,0.7922530912981584
open_poor_light,unsharp_mask,38.461032086583366,0.9589756156977647,0.9736722341356756
open_glasses_reflect,laplacian,28.297074763611825,0.827055806517193,0.9036002941739797
open_glasses_reflect,unsharp_mask,38.17548981864685,0.9772419919548945,0.983796384358541
closed_glasses,laplacian,34.91339479615333,0.8642499959595369,0.8574913364595149
closed_glasses,unsharp_mask,45.515746353931796,0.9864517565757009,0.9758450630957676
open_good_light,high_boost_A=1.0,7.903219930689268,0.0037905014525362562,0.6675166279997238
open_good_light,high_boost_A=1.5,13.869654095031244,0.7766424239482715,0.9671879078871242
open_good_light,high_boost_A=2.0,48.673320072051354,0.994721102470532,0.989730276655865
open_good_light,high_boost_A=2.5,13.944439734354987,0.8969915589210916,0.9941682273139997
