image,method,foreground_ratio,n_components,noise_proxy_isolated_px,iou_vs_otsu
good_lighting,Roberts,0.0218,130,34,
good_lighting,Prewitt,0.0457,85,7,
good_lighting,Sobel,0.0441,83,5,
good_lighting,Laplacian,0.0204,143,50,
good_lighting,Global,0.4775,2,0,0.9437
good_lighting,Otsu,0.506,2,0,1.0
good_lighting,Adaptive,0.1867,1223,506,0.2103
poor_lighting,Roberts,0.1505,1335,399,
poor_lighting,Prewitt,0.273,517,75,
poor_lighting,Sobel,0.2589,585,100,
poor_lighting,Laplacian,0.1344,888,284,
poor_lighting,Global,0.4975,21,0,1.0
poor_lighting,Otsu,0.4975,21,0,1.0
poor_lighting,Adaptive,0.3414,1474,449,0.3603
glasses_reflection,Roberts,0.0765,368,158,
glasses_reflection,Prewitt,0.1465,144,10,
glasses_reflection,Sobel,0.1457,179,32,
glasses_reflection,Laplacian,0.0691,469,191,
glasses_reflection,Global,0.495,7,0,1.0
glasses_reflection,Otsu,0.495,7,0,1.0
glasses_reflection,Adaptive,0.2647,958,386,0.2974
